"File","SHA256"
"\App\appsettings.Development.json","73F95F9E0CEB205FC1C4DC50C07697FCFA29D7087868C2AEF1D504CB38C771EC"
"\App\appsettings.json","359FFC8FE16330D56905B3F2408B16518EEF64E9A41C172E3CC97B3DD16D8AF6"
"\App\BCrypt-Net-Next.dll","73E3A8B8B3F8852EAE911C742FEE1CF7FB015D1059CBB70715D1192FA48022F3"
"\App\Kyvara.Api.deps.json","7730A1265C09EB0388E05E7F996BEFD3742A2755FC02EC0CDC44C0354DAFA151"
"\App\Kyvara.Api.dll","91C33BF109073271BB7B782FE9ACB5FB1181980288E8CB50BB83BD73CCDBEDFF"
"\App\Kyvara.Api.exe","891185DDDB878C63C5A6C159AA194E4DA7DEB2306899668FA0DCF563F180397F"
"\App\Kyvara.Api.pdb","9FC111D8A46817D00918C256D78AB7EE7FAB88538147E31AB767919CA315B317"
"\App\Kyvara.Api.runtimeconfig.json","94B92D437D5BE753FF0BA94AF9064DBD50F8BF1A7459DEBBEDF6CB5699910D50"
"\App\Kyvara.Api.staticwebassets.endpoints.json","C1686417E8D5C31BBA969F12B6F3D2B35E6609ADB5CA42F212261A3A02771AAC"
"\App\Kyvara.Application.dll","CB8BF2F1BF21D7B00BF0DEF554FBB95FD6D11E7BE4E4C792A2352BDA99DD61BD"
"\App\Kyvara.Application.pdb","3497D94553E2F79C11474D4DA62D0456675E9D315B046B70727B7AC89082E3FE"
"\App\kyvara.db","F30E70F6191EC5A103F130ECED552A4AED3B5A347EE098126CBBB60075E57F48"
"\App\Kyvara.Domain.dll","B8B9EDE7A472A1F35E04155258A55FEC20603DAC6961F968EFAFBCADE5C4C24E"
"\App\Kyvara.Domain.pdb","86C34E13E99A2D2ABDFE95847059552108ADD8A0FF306813759E723F06D6DCA3"
"\App\Kyvara.Infrastructure.dll","9F4F8C34F8B5C07C4B74CFDA5AA405D6BB83BF40A8AFC155AA25F3EE17626A63"
"\App\Kyvara.Infrastructure.pdb","80275F3ADC3C86DDDC01EA88B4132FE765DAED8291EE3D7BF8567D510B3F6AF5"
"\App\Kyvara.SharedKernel.dll","C3596FBAD92CEB093B92230D4EC82069647B51724EDAFD74E8880E7FFDAAC827"
"\App\Kyvara.SharedKernel.pdb","D2F3C546C52123294B9C6FC9A5CDD0DDE8713F77FBCF255F0842EFBD5C4CA887"
"\App\MediatR.Contracts.dll","8DB5999E07BB6E8940330F29A5640B0BB6CA3C063A0E39099F67B337D39769F5"
"\App\MediatR.dll","74A47ABF7DEA0E1B1586E7017F2E2C82289A1C4CCE348A8CF5FCE0B859ADFDE8"
"\App\MediatR.Extensions.Microsoft.DependencyInjection.dll","AF804A0CDF3467C63411682A7F96D5D352C0EC42D15726E741C33392974E4B2B"
"\App\Microsoft.AspNetCore.Authentication.JwtBearer.dll","C19A9802D6DBEF3865468847F3B6B055C1488F90CFB060FCFA92A59BF61B8787"
"\App\Microsoft.AspNetCore.OpenApi.dll","F60D0CF490DF4A08AB3FB76AAAC7C32D65F55B8820EE3F257ED0C35D11E46204"
"\App\Microsoft.Data.Sqlite.dll","7841927435BE066C58A41D498FD067DCF98BF567985526472260EE092A18AB86"
"\App\Microsoft.EntityFrameworkCore.Abstractions.dll","97615007521C269ECCE1E49D47A3E2E13B477FF28962DCE5DEAC77EEDF6410E7"
"\App\Microsoft.EntityFrameworkCore.dll","1C763D6AE0CBD473929CFBCD50E4E1FE77969CA524FB6E8602DF865F24204A1D"
"\App\Microsoft.EntityFrameworkCore.Relational.dll","330AD75D0C80E9DD37B582BAD3666C7EA70E41C6D9FD43E7F6E9E1F3E75BA88E"
"\App\Microsoft.EntityFrameworkCore.Sqlite.dll","184DB4379FBAF339A8B50844B2DED3D91C59746059824F025E7C5BC05D930636"
"\App\Microsoft.Extensions.DependencyModel.dll","D113ABE99DA62949CF9C08B04B4C2FDF3DC4B770F94C4F36375062126524EE03"
"\App\Microsoft.IdentityModel.Abstractions.dll","C3B97D1B1C42FAA95BB92EABB7511CA61E89075388F122197040FCFDFB492013"
"\App\Microsoft.IdentityModel.JsonWebTokens.dll","E85D3D751B4254771F59FF8A14444EF701BA65EFB84E312281D675C44536DA71"
"\App\Microsoft.IdentityModel.Logging.dll","32EBEEB2163DB6AA0A81659FF0B590894D78350C50C459196B6CC33C98BA21F3"
"\App\Microsoft.IdentityModel.Protocols.dll","7C8702A7F6C019D962FAF4B8AF2DA751DC32AF9B6BE998688E774394FB5F8730"
"\App\Microsoft.IdentityModel.Protocols.OpenIdConnect.dll","D1F7DBBB71CBF69F5242A74E43B632610FF5DCA913F164D1DCF53B2F6E0046AC"
"\App\Microsoft.IdentityModel.Tokens.dll","B2DACC5120971EFCEB60F6FEBFE9685FE5A509DDB803C45956A63FC36E67631B"
"\App\Microsoft.OpenApi.dll","0EF9FAE1EC5C1B88B2DBE5FE1E1017B9512EEBAE334AC5259C425DE65138B31E"
"\App\SQLitePCLRaw.batteries_v2.dll","94AC800C6B93AE50A025F247547781DEBE18391110667C5E242F51D8AC188FFB"
"\App\SQLitePCLRaw.core.dll","3D2ED8E186F124F988EBDB45D0354185B424357BE2433BBA0033AB9EC31BD25B"
"\App\SQLitePCLRaw.provider.e_sqlite3.dll","232990C8372AFF30574EEF9CC280B486EE6F39F8A66F83EA495DD0DBAE98740C"
"\App\System.IdentityModel.Tokens.Jwt.dll","83218E29958E265B4EEBCE62CDA6D69D41E7BF1898B7FA21ED52102675F6DFE3"
"\App\web.config","C1430C7F4C6DE2E400C19039D2E5EE2CA7E9F1317156219C801C9EF83A359323"
"\App\BuildHost-net472\Microsoft.Build.Locator.dll","1D4222A33857C46F3F0E3C8E59E2ADC06F6C98D9072802C7CFD8E0DFDA74847B"
"\App\BuildHost-net472\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.exe","BEA27AF3980B0FDFBF302423D55553498A0241F43524356025D477902BA982F5"
"\App\BuildHost-net472\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.exe.config","43169E9DBFDD4D06D2D4F0F89C9794D43453B096BB9AE6A275C5E3739383D925"
"\App\BuildHost-net472\Microsoft.IO.Redist.dll","6D0B0A4AB6FCA41C97B0993F053BC8EA5EE965A8FF5A2ED42D15131633752D5F"
"\App\BuildHost-net472\Newtonsoft.Json.dll","BCB1DD23D554D3A4E17B2C0F08761FC571857DE37291B9BDD8C91788BE3AA842"
"\App\BuildHost-net472\System.Buffers.dll","ACCCCFBE45D9F08FFEED9916E37B33E98C65BE012CFFF6E7FA7B67210CE1FEFB"
"\App\BuildHost-net472\System.Collections.Immutable.dll","77D705FE51F224D77B25FC06EDE39E2921F08B46A961A027D6EE49A4BB19C127"
"\App\BuildHost-net472\System.CommandLine.dll","EF4BC45850128E2351BDAE75AE736A62A2BA0E6A3DCA75B5A8BF2B0BC7DEAC3D"
"\App\BuildHost-net472\System.Memory.dll","BF3FB84664F4097F1A8A9BC71A51DCF8CF1A905D4080A4D290DA1730866E856F"
"\App\BuildHost-net472\System.Numerics.Vectors.dll","1D3EF8698281E7CF7371D1554AFEF5872B39F96C26DA772210A33DA041BA1183"
"\App\BuildHost-net472\System.Runtime.CompilerServices.Unsafe.dll","37768488E8EF45729BC7D9A2677633C6450042975BB96516E186DA6CB9CD0DCF"
"\App\BuildHost-net472\System.Threading.Tasks.Extensions.dll","4F81FFD0DC7204DB75AFC35EA4291769B07C440592F28894260EEA76626A23C6"
"\App\BuildHost-net472\cs\System.CommandLine.resources.dll","0613E63DEA0DFC46B8A090EE41CA0AC93902FDF876107FE116697F57FF997ECB"
"\App\BuildHost-net472\de\System.CommandLine.resources.dll","6F77E87CDD5729DA8EF9F4F7DED1424667AD81711E0FF80C264707A522DAAB6A"
"\App\BuildHost-net472\es\System.CommandLine.resources.dll","99D6CFB2A639BEC41C755DFA1942CA42B23E3272411392468D5D21CE8582DAA8"
"\App\BuildHost-net472\fr\System.CommandLine.resources.dll","3F5B7616477A792B1F58B820527BAB0B85B621398BF027840368D5325C44E158"
"\App\BuildHost-net472\it\System.CommandLine.resources.dll","70B1CD23221E5F467BB39D5EDE5B3B6668766A0A659428254B208D5930528C67"
"\App\BuildHost-net472\ja\System.CommandLine.resources.dll","A60F1B1B73BF8227DAFCB1FD187580C9DCB05D26CCFC0D0FCDE1A684E5C7B5FB"
"\App\BuildHost-net472\ko\System.CommandLine.resources.dll","14C738C5C21287E3232032565BE6BB45CCDFA81BCAFE14CBD2EC27FCA60B2BF2"
"\App\BuildHost-net472\pl\System.CommandLine.resources.dll","29D28DC053AEB5D2C320F15331BE4C7EFA4CB1643E5F8EAD92A2E145EBD92E2B"
"\App\BuildHost-net472\pt-BR\System.CommandLine.resources.dll","7FFB47C41090D7B9E4DA2F2C74557C186604822E904BF029683B2B565746AF96"
"\App\BuildHost-net472\ru\System.CommandLine.resources.dll","CDA0D35F61F5D60B29F6B2DD8BA8AB8F65B0EF8976DF04F0657F90C1BD572592"
"\App\BuildHost-net472\tr\System.CommandLine.resources.dll","06F12A7373D17D8E4C70DAD2D3C1B8280A69242D39BE2E86C691E0819306A7D8"
"\App\BuildHost-net472\zh-Hans\System.CommandLine.resources.dll","A4C168C6A73D9755DDC72C541BA6BCCCC1AA2A8040B84E3EAE1900E23D9752E1"
"\App\BuildHost-net472\zh-Hant\System.CommandLine.resources.dll","DACB3B425FAFF62C7BC1854E27AB8133A28AA4A8A98185BBF06C0B24FD82046A"
"\App\BuildHost-netcore\Microsoft.Build.Locator.dll","0ADBE65D87BAFC46E9AE7FBD4DC40ADA05315C5DDE6709EEF578233FB3F4F62A"
"\App\BuildHost-netcore\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.deps.json","A63D1EDCE0775C67277E25D5C65864ADEFA18D5ECA36A536EA68AFB2431CDC6C"
"\App\BuildHost-netcore\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.dll","5542B6865727D36DB432C63C1A34795CFB80472B29258305FB786FDA38297A12"
"\App\BuildHost-netcore\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.dll.config","73B9A880C39B4F2713FA5118E3222488DD04E124627D316632BAA7EF27691312"
"\App\BuildHost-netcore\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.runtimeconfig.json","DFBED91AD9B788C4258F80E515EE663025847200BC04817DAB0A9632DA4DE809"
"\App\BuildHost-netcore\Newtonsoft.Json.dll","265B086E198E2C8473AAF0D2BF0AB6123022431A6E89E181E9D75BDCD1735BE0"
"\App\BuildHost-netcore\System.Collections.Immutable.dll","4743E42B28F1CFBC9C37B5121BC6E55E630D36AFB4C2D0AD3C310DAF2C56AD37"
"\App\BuildHost-netcore\System.CommandLine.dll","EF4BC45850128E2351BDAE75AE736A62A2BA0E6A3DCA75B5A8BF2B0BC7DEAC3D"
"\App\BuildHost-netcore\cs\System.CommandLine.resources.dll","0613E63DEA0DFC46B8A090EE41CA0AC93902FDF876107FE116697F57FF997ECB"
"\App\BuildHost-netcore\de\System.CommandLine.resources.dll","6F77E87CDD5729DA8EF9F4F7DED1424667AD81711E0FF80C264707A522DAAB6A"
"\App\BuildHost-netcore\es\System.CommandLine.resources.dll","99D6CFB2A639BEC41C755DFA1942CA42B23E3272411392468D5D21CE8582DAA8"
"\App\BuildHost-netcore\fr\System.CommandLine.resources.dll","3F5B7616477A792B1F58B820527BAB0B85B621398BF027840368D5325C44E158"
"\App\BuildHost-netcore\it\System.CommandLine.resources.dll","70B1CD23221E5F467BB39D5EDE5B3B6668766A0A659428254B208D5930528C67"
"\App\BuildHost-netcore\ja\System.CommandLine.resources.dll","A60F1B1B73BF8227DAFCB1FD187580C9DCB05D26CCFC0D0FCDE1A684E5C7B5FB"
"\App\BuildHost-netcore\ko\System.CommandLine.resources.dll","14C738C5C21287E3232032565BE6BB45CCDFA81BCAFE14CBD2EC27FCA60B2BF2"
"\App\BuildHost-netcore\pl\System.CommandLine.resources.dll","29D28DC053AEB5D2C320F15331BE4C7EFA4CB1643E5F8EAD92A2E145EBD92E2B"
"\App\BuildHost-netcore\pt-BR\System.CommandLine.resources.dll","7FFB47C41090D7B9E4DA2F2C74557C186604822E904BF029683B2B565746AF96"
"\App\BuildHost-netcore\ru\System.CommandLine.resources.dll","CDA0D35F61F5D60B29F6B2DD8BA8AB8F65B0EF8976DF04F0657F90C1BD572592"
"\App\BuildHost-netcore\tr\System.CommandLine.resources.dll","06F12A7373D17D8E4C70DAD2D3C1B8280A69242D39BE2E86C691E0819306A7D8"
"\App\BuildHost-netcore\zh-Hans\System.CommandLine.resources.dll","A4C168C6A73D9755DDC72C541BA6BCCCC1AA2A8040B84E3EAE1900E23D9752E1"
"\App\BuildHost-netcore\zh-Hant\System.CommandLine.resources.dll","DACB3B425FAFF62C7BC1854E27AB8133A28AA4A8A98185BBF06C0B24FD82046A"
"\App\runtimes\browser-wasm\nativeassets\net9.0\e_sqlite3.a","419622488300B7A26E21BC11E76A3E161E80440A22FA4C0519AA6CBAC71FCB10"
"\App\runtimes\linux-arm\native\libe_sqlite3.so","DE29AD722ADC039F3A3A08FE222ED2BB46948A4ACEFEAEDA86FC57D8AB7EDC24"
"\App\runtimes\linux-arm64\native\libe_sqlite3.so","3D73C00244173F89BD264D9605E7753FFEF8336F487B4FF059EF027261C5D623"
"\App\runtimes\linux-armel\native\libe_sqlite3.so","83863B2C9DCE8B1E4DA72A3818025DEE6506653149DAAD14C9BB81B5293BABA1"
"\App\runtimes\linux-mips64\native\libe_sqlite3.so","31AB04E827923A286649FB060B05CB5020E393A7ABE542CEADC60735DF090F93"
"\App\runtimes\linux-musl-arm\native\libe_sqlite3.so","635AFD4379650F7BC2599AB2B6606AD6BAC44FEFC0F2C09018D20D0E1F828593"
"\App\runtimes\linux-musl-arm64\native\libe_sqlite3.so","18468C67541AE7CACF359968FB7427D57978CF0A903FFB42708AAE6360D9782C"
"\App\runtimes\linux-musl-riscv64\native\libe_sqlite3.so","06A2FACEB613B95E291CBE84A3EC2550E1AE69FFE65B9783FCF557888F2995C1"
"\App\runtimes\linux-musl-s390x\native\libe_sqlite3.so","02A3D327C3746C0E9883E4D2203D5E5311C3D98D3755DDD3D7670BECF7CD4F8D"
"\App\runtimes\linux-musl-x64\native\libe_sqlite3.so","24868846AA49E7D030908D44051A7ECEC0E1315524E92BC21A5F6DDA816790F6"
"\App\runtimes\linux-ppc64le\native\libe_sqlite3.so","CCFFEC6414FB012C4E52326172BA50006A845F67962D8612CEC48790ACAA3D13"
"\App\runtimes\linux-riscv64\native\libe_sqlite3.so","A10EE61703CC90A6069B919F39E12B95BEE072210BCF82CB49C119ECB61485F0"
"\App\runtimes\linux-s390x\native\libe_sqlite3.so","547B6553A9AD65B214366B4372637B772265388A8CE0D7D3EB75995783A69611"
"\App\runtimes\linux-x64\native\libe_sqlite3.so","965400C23FDE16A19D000C1C6062AF577F048410F85253A793F569D5520DAAAD"
"\App\runtimes\linux-x86\native\libe_sqlite3.so","A9382CC28BCF354D15F0B6D392DB0DBC9B3DCCA1756F11B18D209DC357BC5F66"
"\App\runtimes\maccatalyst-arm64\native\libe_sqlite3.dylib","2D1B982EADAAE830ABDC9EDBA3CCBE77036342B19AE00117B96136A6E122D84A"
"\App\runtimes\maccatalyst-x64\native\libe_sqlite3.dylib","2BDB87F40497AA0D744835AE43F948586FF6E8DF861C9FBF7BE29B7F3FED6B39"
"\App\runtimes\osx-arm64\native\libe_sqlite3.dylib","BEA557311C6EF51EB6A69834DBD7A4E1EBD9D3654790CF311D942BF6A6ADE0A2"
"\App\runtimes\osx-x64\native\libe_sqlite3.dylib","858192F4089B1E643A8B972100E71E17FB83DEA0C352D9F161684F6DCB69034A"
"\App\runtimes\win-arm\native\e_sqlite3.dll","2FF400C5BBFD7D08B393ECCDC9E0065B525F7FE5FF790B17779D3892BB1DE66D"
"\App\runtimes\win-arm64\native\e_sqlite3.dll","D28FF71188B00E30489BB7BEF15DD2EBC2FDED92FD9CD8AF97CE222D5CFA4C61"
"\App\runtimes\win-x64\native\e_sqlite3.dll","4DCBB2AD197D893355EFA004257E048F2C850FEB1078158F4BAAB0F7B53AC45F"
"\App\runtimes\win-x86\native\e_sqlite3.dll","D067D9E40D4BC93DF3D142E19CD3A92EBAE865D245E7335020478929489D5C8F"
